school,lea,new_student_cases,total_student_cases,new_staff_cases,total_staff_cases,type,date
B.F. Norton Elementary School,Cumberland,0,5 to 9,0,0,virtual,2021-02-24
Community School,Cumberland,0,10 to 14,0,0,virtual,2021-02-24
Cumberland High School,Cumberland,0,55 to 59,0,Fewer than five,virtual,2021-02-24
Garvin Memorial School,Cumberland,Fewer than five,15 to 19,0,0,virtual,2021-02-24
John J. McLaughlin Cumberland Hill School,Cumberland,0,5 to 9,0,0,virtual,2021-02-24
Joseph L. McCourt Middle School,Cumberland,0,10 to 14,0,0,virtual,2021-02-24
North Cumberland Middle School,Cumberland,Fewer than five,5 to 9,0,0,virtual,2021-02-24
Wm. M. Davies Jr. Career-Technical High School,Davies Career and Tech,0,15 to 19,0,0,virtual,2021-02-24
Archie R. Cole Middle School,East Greenwich,0,5 to 9,0,Fewer than five,virtual,2021-02-24
East Greenwich High School,East Greenwich,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-02-24
Frenchtown School,East Greenwich,0,Fewer than five,0,0,virtual,2021-02-24
George Hanaford School,East Greenwich,0,Fewer than five,0,0,virtual,2021-02-24
Meadowbrook Farms School,East Greenwich,0,Fewer than five,0,0,virtual,2021-02-24
Agnes B. Hennessey School,East Providence,0,10 to 14,0,0,virtual,2021-02-24
Alice M. Waddington School,East Providence,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-02-24
East Providence High School,East Providence,0,70 to 74,0,5 to 9,virtual,2021-02-24
Edward R. Martin Middle School,East Providence,0,15 to 19,0,Fewer than five,virtual,2021-02-24
Edward R. Martin Middle School Annex,East Providence,0,Fewer than five,0,0,virtual,2021-02-24
Emma G. Whiteknact School,East Providence,0,5 to 9,0,0,virtual,2021-02-24
Kent Heights School,East Providence,0,5 to 9,0,0,virtual,2021-02-24
Myron J. Francis Elementary School,East Providence,0,5 to 9,0,0,virtual,2021-02-24
Orlo Avenue School,East Providence,0,5 to 9,0,0,virtual,2021-02-24
Riverside Middle School,East Providence,0,20 to 24,0,Fewer than five,virtual,2021-02-24
Silver Spring School,East Providence,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Exeter-West Greenwich Regional High School,Exeter-West Greenwich,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Exeter-West Greenwich Regional Junior High,Exeter-West Greenwich,0,Fewer than five,0,0,virtual,2021-02-24
Metcalf School,Exeter-West Greenwich,0,Fewer than five,0,0,virtual,2021-02-24
Wawaloam School,Exeter-West Greenwich,0,Fewer than five,0,0,virtual,2021-02-24
Captain Isaac Paine Elementary School,Foster,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Ponaganset High School,Foster-Glocester,0,25 to 29,0,Fewer than five,virtual,2021-02-24
Ponaganset Middle School,Foster-Glocester,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Fogarty Memorial School,Glocester,0,5 to 9,0,0,virtual,2021-02-24
West Glocester Elementary,Glocester,0,Fewer than five,0,0,virtual,2021-02-24
Highlander Elementary Charter School,Highlander,0,15 to 19,0,Fewer than five,virtual,2021-02-24
Highlander Secondary Charter School,Highlander,0,25 to 29,0,0,virtual,2021-02-24
International Charter School,International Charter,0,10 to 14,0,0,virtual,2021-02-24
Jamestown School-Lawn,Jamestown,0,Fewer than five,0,0,virtual,2021-02-24
Jamestown School-Melrose,Jamestown,0,Fewer than five,0,0,virtual,2021-02-24
Brown Avenue School,Johnston,0,5 to 9,0,0,virtual,2021-02-24
Early Childhood Center,Johnston,0,Fewer than five,0,0,virtual,2021-02-24
Graniteville School,Johnston,0,0,0,Fewer than five,virtual,2021-02-24
Johnston Senior High School,Johnston,0,40 to 44,0,Fewer than five,virtual,2021-02-24
Nicholas A. Ferri Middle School,Johnston,0,20 to 24,0,0,virtual,2021-02-24
Sarah Dyer Barnes School,Johnston,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Thornton School,Johnston,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Winsor Hill School,Johnston,0,5 to 9,0,0,virtual,2021-02-24
The Learning Community Charter School,Learning Community,0,35 to 39,0,5 to 9,virtual,2021-02-24
Lincoln Central Elementary School,Lincoln,0,Fewer than five,0,0,virtual,2021-02-24
Lincoln Middle School,Lincoln,0,15 to 19,0,0,virtual,2021-02-24
Lincoln Senior High School,Lincoln,Fewer than five,40 to 44,0,Fewer than five,virtual,2021-02-24
Lonsdale Elementary School,Lincoln,0,Fewer than five,0,0,virtual,2021-02-24
Northern Lincoln Elementary School,Lincoln,0,5 to 9,0,0,virtual,2021-02-24
Saylesville Elementary School,Lincoln,0,10 to 14,0,0,virtual,2021-02-24
Metropolitan Regional Career and Technical Center,MET Career and Tech,Fewer than five,40 to 44,0,Fewer than five,virtual,2021-02-24
Aquidneck Elementary School,Middletown,Fewer than five,Fewer than five,0,0,virtual,2021-02-24
Forest Avenue School,Middletown,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Joseph H. Gaudet Middle School,Middletown,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Middletown High School,Middletown,0,20 to 24,0,Fewer than five,virtual,2021-02-24
Narragansett Elementary School,Narragansett,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Narragansett High School,Narragansett,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-02-24
Narragansett Pier School,Narragansett,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Block Island School,New Shoreham,0,Fewer than five,0,0,virtual,2021-02-24
Claiborne Pell Elementary School,Newport,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Frank E. Thompson Middle School,Newport,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Rogers High School,Newport,0,20 to 24,0,Fewer than five,virtual,2021-02-24
Davisville Academy,North Kingstown,0,Fewer than five,0,0,virtual,2021-02-24
Davisville Middle School,North Kingstown,0,0,0,Fewer than five,virtual,2021-02-24
Fishing Cove Elementary School,North Kingstown,0,5 to 9,0,0,virtual,2021-02-24
Forest Park Elementary School,North Kingstown,0,Fewer than five,0,0,virtual,2021-02-24
Hamilton Elementary School,North Kingstown,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
North Kingstown Senior High School,North Kingstown,0,30 to 34,0,0,virtual,2021-02-24
Stony Lane Elementary School,North Kingstown,0,Fewer than five,0,0,virtual,2021-02-24
Wickford Middle School,North Kingstown,0,Fewer than five,0,0,virtual,2021-02-24
Birchwood Middle School,North Providence,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-02-24
Centredale School,North Providence,0,5 to 9,0,0,virtual,2021-02-24
Dr. Edward A. Ricci Middle School,North Providence,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Dr. Joseph A Whelan Elementary School,North Providence,0,Fewer than five,0,0,virtual,2021-02-24
Greystone School,North Providence,0,Fewer than five,0,0,virtual,2021-02-24
James L. McGuire School,North Providence,0,5 to 9,0,0,virtual,2021-02-24
North Providence High School,North Providence,Fewer than five,40 to 44,0,0,virtual,2021-02-24
Stephen Olney School,North Providence,Fewer than five,10 to 14,0,0,virtual,2021-02-24
North Smithfield Elementary School,North Smithfield,0,5 to 9,0,0,virtual,2021-02-24
North Smithfield High School,North Smithfield,0,10 to 14,0,0,virtual,2021-02-24
North Smithfield Middle School,North Smithfield,0,10 to 14,0,0,virtual,2021-02-24
Northern RI Collaborative,Northern RI Collaborative,0,0,Fewer than five,Fewer than five,virtual,2021-02-24
Paul Cuffee Lower School,Paul Cuffee Charter Sch,0,10 to 14,0,0,virtual,2021-02-24
Paul Cuffee Middle School,Paul Cuffee Charter Sch,0,5 to 9,0,0,virtual,2021-02-24
Paul Cuffee Upper School,Paul Cuffee Charter Sch,0,15 to 19,0,0,virtual,2021-02-24
Agnes E. Little School,Pawtucket,0,10 to 14,0,0,virtual,2021-02-24
Charles E. Shea High School,Pawtucket,0,60 to 64,0,5 to 9,virtual,2021-02-24
Curvin-McCabe School,Pawtucket,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-02-24
Elizabeth Baldwin School,Pawtucket,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-02-24
Fallon Memorial School,Pawtucket,0,20 to 24,0,Fewer than five,virtual,2021-02-24
Flora S. Curtis Memorial School,Pawtucket,0,5 to 9,0,0,virtual,2021-02-24
Francis J. Varieur School,Pawtucket,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Henry J. Winters School,Pawtucket,0,15 to 19,0,0,virtual,2021-02-24
Jacqueline M. Walsh School for the Performing and Visual Arts,Pawtucket,0,15 to 19,0,0,virtual,2021-02-24
Joseph Jenks Middle School,Pawtucket,Fewer than five,40 to 44,0,5 to 9,virtual,2021-02-24
Lyman B. Goff Middle School,Pawtucket,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-02-24
M. Virginia Cunningham School,Pawtucket,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Nathanael Greene Elementary School (Pawtucket),Pawtucket,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-02-24
Potter-Burns School,Pawtucket,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-02-24
Rhode Island Alternative Academy,Pawtucket,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Samuel Slater Middle School,Pawtucket,Fewer than five,40 to 44,0,0,virtual,2021-02-24
William E Tolman Senior High School,Pawtucket,0,50 to 54,0,Fewer than five,virtual,2021-02-24
Howard Hathaway School,Portsmouth,0,5 to 9,0,0,virtual,2021-02-24
Melville Elementary School,Portsmouth,0,Fewer than five,0,0,virtual,2021-02-24
Portsmouth High School,Portsmouth,0,30 to 34,0,0,virtual,2021-02-24
Portsmouth Middle School,Portsmouth,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Bradley School North,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
"CHILD, Inc., Centerville Road",Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
Community Preparatory School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Cornerstone School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Day Spring Christian Academy,Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
East Side Nursery School,Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
Eleanor Briggs School,Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
Greenville Nursery School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Harmony Hill School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Henry Barnard School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
High Road School of Providence,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Hope Street School,Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
Kid's Kingdom,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Lincoln School,Private Schools,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-02-24
Meeting Street School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Middlebridge School,Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
Montessori Centre of Barrington,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Moses Brown School,Private Schools,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Mount Pleasant Academy,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Ocean State Academy,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Ocean State Montessori School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Pathways Strategic Teaching Center(Coventry),Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
Pathways Strategic Teaching Center(Warwick),Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
Portsmouth Abbey School,Private Schools,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Providence Country Day School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Rocky Hill School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
San Miguel School,Private Schools,0,5 to 9,0,0,virtual,2021-02-24
Sargent Rehabilitation Center,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
School One,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
Sophia Academy,Private Schools,0,5 to 9,0,Fewer than five,virtual,2021-02-24
St. Andrew's School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
St. George's School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Mary's Home for Children/George N. Hunt Campus School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
St. Michael's Country Day School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
St. Patrick's School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
The Bradley School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
The Croft School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
The French-American School of RI,Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
The Genesis Daycare Center,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
The Gordon School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
"The Groden Center, Inc.",Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
The Pennfield School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
The Providence Center School,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
The Tides School - West Warwick,Private Schools,0,Fewer than five,0,0,virtual,2021-02-24
The Wheeler School,Private Schools,0,10 to 14,0,0,virtual,2021-02-24
The Wolf School,Private Schools,0,0,0,Fewer than five,virtual,2021-02-24
Trinity Christian Academy,Private Schools,0,5 to 9,0,0,virtual,2021-02-24
360 High School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Alan Shawn Feinstein Elementary at Broad Street,Providence,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-02-24
Alfred Lima Sr. Elementary School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Anthony Carnevale Elementary School,Providence,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Asa Messer Elementary School,Providence,0,10 to 14,0,0,virtual,2021-02-24
Carl G. Lauro Elementary School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Central High School,Providence,0,45 to 49,0,Fewer than five,virtual,2021-02-24
Charles N. Fortes Elementary School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Classical High School,Providence,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-02-24
Dr. Jorge Alvarez High School,Providence,0,25 to 29,0,Fewer than five,virtual,2021-02-24
"Dr. Martin Luther King, Jr. Elementary School",Providence,0,5 to 9,0,0,virtual,2021-02-24
E-Cubed Academy,Providence,0,10 to 14,0,0,virtual,2021-02-24
Esek Hopkins Middle School,Providence,0,10 to 14,0,0,virtual,2021-02-24
Frank D. Spaziano Elementary School,Providence,0,5 to 9,0,0,virtual,2021-02-24
Frank D. Spaziano Elementary School Annex,Providence,0,Fewer than five,0,0,virtual,2021-02-24
George J. West Elementary School,Providence,0,15 to 19,0,Fewer than five,virtual,2021-02-24
Gilbert Stuart Middle School,Providence,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-02-24
Governor Christopher DelSesto Middle School,Providence,0,30 to 34,0,Fewer than five,virtual,2021-02-24
Harry Kizirian Elementary School,Providence,Fewer than five,10 to 14,0,0,virtual,2021-02-24
Highlander Charter School/Mariposa Center@Meeting St.School,Providence,0,Fewer than five,0,0,virtual,2021-02-24
Hope High School,Providence,0,35 to 39,0,Fewer than five,virtual,2021-02-24
Leviton Dual Language School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Lillian Feinstein Elementary Sackett Street,Providence,0,10 to 14,0,0,virtual,2021-02-24
Love 4 All Childcare Center,Providence,0,0,0,Fewer than five,virtual,2021-02-24
Mary E. Fogarty Elementary School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Mount Pleasant High School,Providence,0,35 to 39,0,Fewer than five,virtual,2021-02-24
Nathan Bishop Middle School,Providence,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Nathanael Greene Middle School (Providence),Providence,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-02-24
Pleasant View School,Providence,0,10 to 14,0,0,virtual,2021-02-24
Providence Career and Technical Academy,Providence,Fewer than five,25 to 29,0,Fewer than five,virtual,2021-02-24
Providence Virtual Learning Academy,Providence,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Reservoir Avenue School,Providence,Fewer than five,5 to 9,0,0,virtual,2021-02-24
Robert F. Kennedy Elementary School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-02-24
Robert L Bailey IV Elementary School,Providence,0,Fewer than five,0,Fewer than five,virtual,2021-02-24
Roger Williams Middle School,Providence,Fewer than five,25 to 29,0,Fewer than five,virtual,2021-02-24
The Sgt. Cornel Young Jr & Charlotte Woods Elementary School @ The B. Jae Clanton Complex,Providence,Fewer than five,10 to 14,0,0,virtual,2021-02-24
Times2 Elementary School,Providence,0,10 to 14,0,Fewer than five,virtual,2021-02-24
Times2 Middle/High School,Providence,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-02-24
Vartan Gregorian Elementary School,Providence,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-02-24
Veazie Street School,Providence,0,15 to 19,0,0,virtual,2021-02-24
Webster Avenue School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-02-24
West Broadway Middle School,Providence,0,25 to 29,0,Fewer than five,virtual,2021-02-24
"William B. Cooley, Sr. High School and the Providence Academy of International Studies High School",Providence,0,15 to 19,0,0,virtual,2021-02-24
